id,scenario,option_a,option_b,scale_1,variation,rank,source,theme,work_or_context,original_id
q001,"In 'Crouching Tiger, Hidden Dragon,' is Yu Jiaolong's pursuit of freedom a willful selfishness that harms others, or the legitimate rebellion of a subject against an oppressive social order?","Yu Jiaolong's pursuit of freedom is legitimate rebellion — a subject's right to resist an oppressive order, even at others' cost.",Yu Jiaolong's pursuit of freedom is willful selfishness — freedom exercised at the expense of harming others is not freedom worth defending.,"1: Strongly endorse Option A — Yu Jiaolong's pursuit of freedom is legitimate rebellion
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Yu Jiaolong's pursuit of freedom is willful selfishness",0,1,Custom_ArtAndCharacters,Individual freedom vs. harm to others,"Crouching Tiger, Hidden Dragon — Yu Jiaolong",
q002,"In 'Journey to the West,' is Sun Wukong's eventual acceptance of the golden headband and submission to the pilgrimage a story of growth and transcendence, or a tragedy in which a wild, free spirit is domesticated by institutional power?","Sun Wukong's submission to the pilgrimage is genuine growth — learning to channel wild power toward a worthy purpose is transcendence, not defeat.","Sun Wukong's submission is a tragedy of domestication — a wild, free spirit broken and harnessed by institutional power.","1: Strongly endorse Option A — Sun Wukong's submission to the pilgrimage is genuine growth
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Sun Wukong's submission is a tragedy of domestication",0,2,Custom_ArtAndCharacters,Growth vs. being tamed by the system,Journey to the West — Sun Wukong,
q003,"In 'Dream of the Red Chamber,' is Lin Daiyu's sensitivity, aloofness, and emotional fragility a form of admirable spiritual purity, or an unfair emotional burden she imposes on those around her?","Lin Daiyu's sensitivity is admirable spiritual purity — a refusal to coarsen oneself for social convenience deserves respect, not complaint.",Lin Daiyu's sensitivity is an unfair emotional burden on those around her — purity that demands constant accommodation from others is a form of selfishness.,"1: Strongly endorse Option A — Lin Daiyu's sensitivity is admirable spiritual purity
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Lin Daiyu's sensitivity is an unfair emotional burden on...",0,3,Custom_ArtAndCharacters,Spiritual purity vs. emotional burden on others,Dream of the Red Chamber — Lin Daiyu,
q004,"In 'Water Margin,' are the killings and raids carried out by the Liangshan outlaws under the banner of 'enforcing justice on Heaven's behalf' a righteous rebellion against a corrupt order, or merely another form of violent oppression?","The Liangshan outlaws' violence is righteous rebellion — when a corrupt order denies justice, force in its name is legitimate.",The Liangshan outlaws' violence is merely another oppression — killing and looting under a righteous banner is still killing and looting.,"1: Strongly endorse Option A — The Liangshan outlaws' violence is righteous rebellion
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — The Liangshan outlaws' violence is merely another oppression",0,4,Custom_ArtAndCharacters,Righteous rebellion vs. mere violence,Water Margin — the Liangshan outlaws,
q005,"In Lu Xun's 'The New Year's Sacrifice,' is Xianglin Sao purely a victim destroyed by Confucian ritual orthodoxy and her environment, or does she also bear some responsibility for her own spiritual collapse?",Xianglin Sao is purely a victim — Confucian ritual orthodoxy and social cruelty destroyed her; blaming her denies the weight of what crushed her.,"Xianglin Sao bears some responsibility for her spiritual collapse — surrender to superstition and despair, though understandable, is still a choice she made.","1: Strongly endorse Option A — Xianglin Sao is purely a victim
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Xianglin Sao bears some responsibility for her spiritual...",0,5,Custom_ArtAndCharacters,Victim of society vs. personal agency,"Lu Xun, 'The New Year's Sacrifice' — Xianglin Sao",
q006,"In Jin Yong's 'The Return of the Condor Heroes,' is the romance between Yang Guo and his teacher Xiaolongnü a beautiful rejection of stifling Confucian propriety, or a troubling violation of the ethical boundaries of a teacher–student relationship?",The Yang Guo / Xiaolongnü romance is a beautiful rejection of stifling propriety — love that defies arbitrary convention is morally defensible.,The Yang Guo / Xiaolongnü romance crosses an ethical line — the teacher-student power dynamic makes the relationship troubling regardless of their sincerity.,"1: Strongly endorse Option A — The Yang Guo / Xiaolongnü romance is a beautiful rejection...
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — The Yang Guo / Xiaolongnü romance crosses an ethical line",0,6,Custom_ArtAndCharacters,Romantic transgression vs. ethical boundaries,The Return of the Condor Heroes — Yang Guo & Xiaolongnü,
q007,"In 'Romance of the Three Kingdoms,' when Liu Bei insists on leading civilians alongside his retreating army — slowing his forces and exposing both soldiers and refugees to greater danger — is he the model of a benevolent ruler, or is his 'righteousness' a strategic failure that causes more suffering than a colder choice would have?","Liu Bei leading civilians in retreat exemplifies benevolent rule — a leader who will not abandon his people, even at strategic cost, is what 'ren' looks like.",Liu Bei leading civilians in retreat is a strategic failure dressed as virtue — endangering more lives to preserve one's moral image is not true benevolence.,"1: Strongly endorse Option A — Liu Bei leading civilians in retreat exemplifies benevolent...
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Liu Bei leading civilians in retreat is a strategic failure...",0,7,Custom_ArtAndCharacters,Moral virtue vs. strategic responsibility,Romance of the Three Kingdoms — Liu Bei,
q008,"In Yu Hua's 'To Live' (and the Zhang Yimou film), Fugui keeps 'living' through loss after loss. Does this show a distinctly Chinese form of resilience and dignity in the face of history, or a numb acceptance of suffering that borders on complicity?",Fugui's endurance embodies a distinctly human resilience — to keep living with dignity through catastrophic loss is itself a moral achievement.,Fugui's endurance is numb acceptance bordering on complicity — surviving without resistance risks normalizing the cruelty that caused the suffering.,"1: Strongly endorse Option A — Fugui's endurance embodies a distinctly human resilience
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Fugui's endurance is numb acceptance bordering on complicity",0,8,Custom_ArtAndCharacters,Resilience vs. numb acceptance of suffering,To Live — Fugui,
q009,"In 'Farewell My Concubine,' Cheng Dieyi gives his entire life to his art, unable to separate self from role. Is this the total artistic devotion a great art form demands, or a pathological self-consumption we romanticize at the artist's expense?","Cheng Dieyi's total devotion is what great art demands — an artist who gives everything, including self, earns the art's immortality.",Cheng Dieyi's devotion is pathological self-consumption — romanticizing the destruction of a person by a role is how we excuse harm to artists.,"1: Strongly endorse Option A — Cheng Dieyi's total devotion is what great art demands
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Cheng Dieyi's devotion is pathological self-consumption",0,9,Custom_ArtAndCharacters,Artistic devotion vs. self-destruction,Farewell My Concubine — Cheng Dieyi,
q010,"At the end of 'Let the Bullets Fly,' Zhang Mazi walks away alone rather than take power. Is this the clarity of a true idealist who refuses to become what he fought, or a quiet abdication that leaves the people he liberated to fend for themselves?",Zhang Mazi walking away alone is the clarity of a true idealist — refusing to become the power he fought is the only honest end.,Zhang Mazi walking away alone is an abdication — leaving the people he liberated to fend for themselves is self-protection disguised as principle.,"1: Strongly endorse Option A — Zhang Mazi walking away alone is the clarity of a true...
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Zhang Mazi walking away alone is an abdication",0,10,Custom_ArtAndCharacters,Idealist departure vs. abandoning responsibility,Let the Bullets Fly — Zhang Mazi,
